id,restaurant_id,restaurant_name,name,category,price,spicy,salty,sweet,portion,value,speed,signature,available,tags,source,last_checked,recommend_note,food_character
M078,C024,고가밀면,고가손만두,분식,8000,0,2,2,3,3,3,true,true,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,,quick-snack
M079,C025,가야밀면,물밀면,분식,8000,0,2,2,1,3,3,true,true,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M080,C025,가야밀면,비빔밀면,분식,8000,2,3,2,1,3,3,true,true,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M081,C025,가야밀면,돈까스,분식,8000,0,2,1,5,3,3,true,true,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,,main-dish
M082,C026,유가네 닭갈비,유가네닭갈비,한식,10500,2,3,2,4,3,2,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,main-dish
M083,C026,유가네 닭갈비,콘치즈닭갈비,한식,12000,2,3,3,4,3,2,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,main-dish
M084,C026,유가네 닭갈비,닭갈비철판볶음밥,한식,8000,2,3,2,4,3,2,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M085,C026,유가네 닭갈비,닭야채철판볶음밥,한식,8000,2,3,2,4,3,2,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M086,C026,유가네 닭갈비,미소허니닭갈비,한식,11500,2,3,3,4,3,2,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,main-dish
M087,C026,유가네 닭갈비,치즈철판볶음밥,한식,8500,2,3,2,4,3,2,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M088,C027,호호돼지국밥,짜글이,한식,7000,1,3,0,4,5,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,,hot-soup
M089,C027,호호돼지국밥,돼지국밥,한식,7000,0,3,0,4,5,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,,hot-soup
M090,C027,호호돼지국밥,순대국밥,한식,7000,0,3,0,4,5,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,,hot-soup
M091,C027,호호돼지국밥,내장국밥,한식,7000,0,3,0,4,5,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,,hot-soup
M092,C027,호호돼지국밥,섞어국밥,한식,7000,0,3,0,4,5,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,,hot-soup
M093,C028,장독짜장,짜장면,중식,5000,0,4,3,1,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M094,C028,장독짜장,짬뽕,중식,8000,4,3,2,2,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M095,C028,장독짜장,볶음밥,중식,8000,0,3,3,1,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M096,C028,장독짜장,간짜장,중식,8000,0,4,3,1,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M097,C028,장독짜장,볶음짬뽕,중식,8000,3,3,2,2,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M098,C028,장독짜장,미니탕수육,중식,10000,0,2,1,5,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,,main-dish
M099,C028,장독짜장,쟁반짜장,중식,9000,2,4,3,2,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M100,C029,돌솥밥수,돌솥밥 정식,한식,10000,2,3,2,3,3,3,true,true,"[""혼밥"",""단체"",""든든함"",""데이트"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
